Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
0725-7C PFC+NAc DAsensor day4,2025-08-29 19:51:51.102,,Media file,player #1:E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,0.0,1089.966,1662.633,30.000,No focal subject,0.0,f,Not defined,POINT,534.367,534.367,NA,E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,16031,16031,,,,
0725-7C PFC+NAc DAsensor day4,2025-08-29 19:51:51.102,,Media file,player #1:E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,0.0,1089.966,1662.633,30.000,No focal subject,0.0,t,Not defined,POINT,536.033,536.033,NA,E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,16081,16081,,,,
0725-7C PFC+NAc DAsensor day4,2025-08-29 19:51:51.102,,Media file,player #1:E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,0.0,1089.966,1662.633,30.000,No focal subject,0.0,i,Not defined,POINT,569.267,569.267,NA,E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,17078,17078,,,,
0725-7C PFC+NAc DAsensor day4,2025-08-29 19:51:51.102,,Media file,player #1:E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,0.0,1089.966,1662.633,30.000,No focal subject,0.0,w,Not defined,POINT,570.900,570.900,NA,E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,17127,17127,,,,
0725-7C PFC+NAc DAsensor day4,2025-08-29 19:51:51.102,,Media file,player #1:E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,0.0,1089.966,1662.633,30.000,No focal subject,0.0,c,Not defined,POINT,583.967,583.967,NA,E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,17519,17519,,,,
0725-7C PFC+NAc DAsensor day4,2025-08-29 19:51:51.102,,Media file,player #1:E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,0.0,1089.966,1662.633,30.000,No focal subject,0.0,t,Not defined,POINT,589.900,589.900,NA,E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,17697,17697,,,,
0725-7C PFC+NAc DAsensor day4,2025-08-29 19:51:51.102,,Media file,player #1:E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,0.0,1089.966,1662.633,30.000,No focal subject,0.0,q,Not defined,POINT,592.433,592.433,NA,E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,17773,17773,,,,
0725-7C PFC+NAc DAsensor day4,2025-08-29 19:51:51.102,,Media file,player #1:E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,0.0,1089.966,1662.633,30.000,No focal subject,0.0,g,Not defined,POINT,594.233,594.233,NA,E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,17827,17827,,,,
0725-7C PFC+NAc DAsensor day4,2025-08-29 19:51:51.102,,Media file,player #1:E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,0.0,1089.966,1662.633,30.000,No focal subject,0.0,v,Not defined,POINT,609.267,609.267,NA,E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,18278,18278,,,,
0725-7C PFC+NAc DAsensor day4,2025-08-29 19:51:51.102,,Media file,player #1:E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,0.0,1089.966,1662.633,30.000,No focal subject,0.0,t,Not defined,POINT,615.533,615.533,NA,E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,18466,18466,,,,
0725-7C PFC+NAc DAsensor day4,2025-08-29 19:51:51.102,,Media file,player #1:E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,0.0,1089.966,1662.633,30.000,No focal subject,0.0,i,Not defined,POINT,618.300,618.300,NA,E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,18549,18549,,,,
0725-7C PFC+NAc DAsensor day4,2025-08-29 19:51:51.102,,Media file,player #1:E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,0.0,1089.966,1662.633,30.000,No focal subject,0.0,w,Not defined,POINT,620.900,620.900,NA,E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,18627,18627,,,,
0725-7C PFC+NAc DAsensor day4,2025-08-29 19:51:51.102,,Media file,player #1:E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,0.0,1089.966,1662.633,30.000,No focal subject,0.0,c,Not defined,POINT,628.333,628.333,NA,E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,18850,18850,,,,
0725-7C PFC+NAc DAsensor day4,2025-08-29 19:51:51.102,,Media file,player #1:E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,0.0,1089.966,1662.633,30.000,No focal subject,0.0,t,Not defined,POINT,634.400,634.400,NA,E:/DA sensor PFC +NAC/day4/2025_08_29 0725-7C PFC+NAc DAsensor day4/2025_08_29 0725-7C PFC+NAc DAsensor day4.mp4,19032,19032,,,,
