Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,f,Not defined,POINT,414.233,414.233,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,12427,12427,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,t,Not defined,POINT,447.767,447.767,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,13433,13433,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,q,Not defined,POINT,452.6,452.6,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,13578,13578,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,g,Not defined,POINT,453.867,453.867,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,13616,13616,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,v,Not defined,POINT,455.767,455.767,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,13673,13673,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,t,Not defined,POINT,465.5,465.5,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,13965,13965,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,i,Not defined,POINT,467.8,467.8,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,14034,14034,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,w,Not defined,POINT,469.767,469.767,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,14093,14093,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,c,Not defined,POINT,475.667,475.667,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,14270,14270,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,t,Not defined,POINT,490,490,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,14700,14700,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,q,Not defined,POINT,529.2,529.2,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,15876,15876,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,g,Not defined,POINT,530.667,530.667,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,15920,15920,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,v,Not defined,POINT,532,532,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,15960,15960,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,t,Not defined,POINT,539.6,539.6,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,16188,16188,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,i,Not defined,POINT,540.4,540.4,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,16212,16212,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,w,Not defined,POINT,541.467,541.467,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,16244,16244,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,c,Not defined,POINT,546.2,546.2,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,16386,16386,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,t,Not defined,POINT,555.2,555.2,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,16656,16656,,,,
2025_08_27 0725-11C PFC+NAc DAsensor day2,33:33.5,,Media file,player #1:D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,0,1272.234,1751.233,30,No focal subject,0,i,Not defined,POINT,568.2,568.2,NA,D:/2025_08_27 0725-11C PFC+NAc DAsensor day2/Video1.mp4,17046,17046,,,,
