Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
0725-11C PFC+NAc DAsensor day1,2025-08-28 10:35:14.759,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,0.0,1196.567,2135.300,30.000,No focal subject,0.0,f,Not defined,POINT,872.733,872.733,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,26182,26182,,,,
0725-11C PFC+NAc DAsensor day1,2025-08-28 10:35:14.759,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,0.0,1196.567,2135.300,30.000,No focal subject,0.0,t,Not defined,POINT,874.200,874.200,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,26226,26226,,,,
0725-11C PFC+NAc DAsensor day1,2025-08-28 10:35:14.759,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,0.0,1196.567,2135.300,30.000,No focal subject,0.0,q,Not defined,POINT,940.000,940.000,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,28200,28200,,,,
0725-11C PFC+NAc DAsensor day1,2025-08-28 10:35:14.759,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,0.0,1196.567,2135.300,30.000,No focal subject,0.0,g,Not defined,POINT,944.133,944.133,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,28324,28324,,,,
0725-11C PFC+NAc DAsensor day1,2025-08-28 10:35:14.759,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,0.0,1196.567,2135.300,30.000,No focal subject,0.0,v,Not defined,POINT,950.400,950.400,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,28512,28512,,,,
0725-11C PFC+NAc DAsensor day1,2025-08-28 10:35:14.759,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,0.0,1196.567,2135.300,30.000,No focal subject,0.0,t,Not defined,POINT,1000.133,1000.133,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,30004,30004,,,,
0725-11C PFC+NAc DAsensor day1,2025-08-28 10:35:14.759,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,0.0,1196.567,2135.300,30.000,No focal subject,0.0,q,Not defined,POINT,1002.600,1002.600,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,30078,30078,,,,
0725-11C PFC+NAc DAsensor day1,2025-08-28 10:35:14.759,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,0.0,1196.567,2135.300,30.000,No focal subject,0.0,g,Not defined,POINT,1004.133,1004.133,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,30124,30124,,,,
0725-11C PFC+NAc DAsensor day1,2025-08-28 10:35:14.759,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,0.0,1196.567,2135.300,30.000,No focal subject,0.0,v,Not defined,POINT,1012.900,1012.900,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,30387,30387,,,,
0725-11C PFC+NAc DAsensor day1,2025-08-28 10:35:14.759,,Media file,player #1:E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,0.0,1196.567,2135.300,30.000,No focal subject,0.0,t,Not defined,POINT,1020.467,1020.467,NA,E:/DA sensor PFC +NAC/Day1/2025_08_26 0725-11C PFC+NAc DAsensor day1/2025_08_26 0725-11C PFC+NAc DAsensor day1.mp4,30614,30614,,,,
