Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
2025_08_27 0725-7D PFC+NAc DAsensor day2,2025-08-28 20:57:34.177,,Media file,player #1:D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,0.0,855.067,1417.933,30.000,No focal subject,0.0,f,Not defined,POINT,537.033,537.033,NA,D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,16111,16111,,,,
2025_08_27 0725-7D PFC+NAc DAsensor day2,2025-08-28 20:57:34.177,,Media file,player #1:D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,0.0,855.067,1417.933,30.000,No focal subject,0.0,t,Not defined,POINT,539.067,539.067,NA,D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,16172,16172,,,,
2025_08_27 0725-7D PFC+NAc DAsensor day2,2025-08-28 20:57:34.177,,Media file,player #1:D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,0.0,855.067,1417.933,30.000,No focal subject,0.0,i,Not defined,POINT,548.033,548.033,NA,D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,16441,16441,,,,
2025_08_27 0725-7D PFC+NAc DAsensor day2,2025-08-28 20:57:34.177,,Media file,player #1:D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,0.0,855.067,1417.933,30.000,No focal subject,0.0,w,Not defined,POINT,551.367,551.367,NA,D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,16541,16541,,,,
2025_08_27 0725-7D PFC+NAc DAsensor day2,2025-08-28 20:57:34.177,,Media file,player #1:D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,0.0,855.067,1417.933,30.000,No focal subject,0.0,c,Not defined,POINT,558.333,558.333,NA,D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,16750,16750,,,,
2025_08_27 0725-7D PFC+NAc DAsensor day2,2025-08-28 20:57:34.177,,Media file,player #1:D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,0.0,855.067,1417.933,30.000,No focal subject,0.0,t,Not defined,POINT,563.867,563.867,NA,D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,16916,16916,,,,
2025_08_27 0725-7D PFC+NAc DAsensor day2,2025-08-28 20:57:34.177,,Media file,player #1:D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,0.0,855.067,1417.933,30.000,No focal subject,0.0,q,Not defined,POINT,566.000,566.000,NA,D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,16980,16980,,,,
2025_08_27 0725-7D PFC+NAc DAsensor day2,2025-08-28 20:57:34.177,,Media file,player #1:D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,0.0,855.067,1417.933,30.000,No focal subject,0.0,g,Not defined,POINT,567.233,567.233,NA,D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,17017,17017,,,,
2025_08_27 0725-7D PFC+NAc DAsensor day2,2025-08-28 20:57:34.177,,Media file,player #1:D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,0.0,855.067,1417.933,30.000,No focal subject,0.0,v,Not defined,POINT,572.133,572.133,NA,D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,17164,17164,,,,
2025_08_27 0725-7D PFC+NAc DAsensor day2,2025-08-28 20:57:34.177,,Media file,player #1:D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,0.0,855.067,1417.933,30.000,No focal subject,0.0,t,Not defined,POINT,580.400,580.400,NA,D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,17412,17412,,,,
2025_08_27 0725-7D PFC+NAc DAsensor day2,2025-08-28 20:57:34.177,,Media file,player #1:D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,0.0,855.067,1417.933,30.000,No focal subject,0.0,q,Not defined,POINT,583.200,583.200,NA,D:/2025_08_27 0725-7D PFC+NAc DAsensor day2/Video1.mp4,17496,17496,,,,
