Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Subject,Observation duration by subject by observation,Behavior,Behavioral category,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
0725-11B PFC+NAc DAsensor day3,2025-08-29 13:51:26.974,,Media file,player #1:E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,0.0,1019.900,2196.000,30.000,No focal subject,0.0,f,Not defined,POINT,1145.233,1145.233,NA,E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,34357,34357,,,,
0725-11B PFC+NAc DAsensor day3,2025-08-29 13:51:26.974,,Media file,player #1:E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,0.0,1019.900,2196.000,30.000,No focal subject,0.0,t,Not defined,POINT,1151.567,1151.567,NA,E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,34547,34547,,,,
0725-11B PFC+NAc DAsensor day3,2025-08-29 13:51:26.974,,Media file,player #1:E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,0.0,1019.900,2196.000,30.000,No focal subject,0.0,q,Not defined,POINT,1152.367,1152.367,NA,E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,34571,34571,,,,
0725-11B PFC+NAc DAsensor day3,2025-08-29 13:51:26.974,,Media file,player #1:E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,0.0,1019.900,2196.000,30.000,No focal subject,0.0,g,Not defined,POINT,1153.433,1153.433,NA,E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,34603,34603,,,,
0725-11B PFC+NAc DAsensor day3,2025-08-29 13:51:26.974,,Media file,player #1:E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,0.0,1019.900,2196.000,30.000,No focal subject,0.0,v,Not defined,POINT,1160.633,1160.633,NA,E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,34819,34819,,,,
0725-11B PFC+NAc DAsensor day3,2025-08-29 13:51:26.974,,Media file,player #1:E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,0.0,1019.900,2196.000,30.000,No focal subject,0.0,t,Not defined,POINT,1176.600,1176.600,NA,E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,35298,35298,,,,
0725-11B PFC+NAc DAsensor day3,2025-08-29 13:51:26.974,,Media file,player #1:E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,0.0,1019.900,2196.000,30.000,No focal subject,0.0,i,Not defined,POINT,1206.100,1206.100,NA,E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,36183,36183,,,,
0725-11B PFC+NAc DAsensor day3,2025-08-29 13:51:26.974,,Media file,player #1:E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,0.0,1019.900,2196.000,30.000,No focal subject,0.0,w,Not defined,POINT,1208.367,1208.367,NA,E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,36251,36251,,,,
0725-11B PFC+NAc DAsensor day3,2025-08-29 13:51:26.974,,Media file,player #1:E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,0.0,1019.900,2196.000,30.000,No focal subject,0.0,c,Not defined,POINT,1215.133,1215.133,NA,E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,36454,36454,,,,
0725-11B PFC+NAc DAsensor day3,2025-08-29 13:51:26.974,,Media file,player #1:E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,0.0,1019.900,2196.000,30.000,No focal subject,0.0,t,Not defined,POINT,1218.900,1218.900,NA,E:/2025_08_28 0725-11B PFC+NAc DAsensor day3/2025_08_28 0725-7C PFC+NAc DAsensor day3.mp4,36567,36567,,,,
